Ano;Mês;Indicador;Descrição;Município;UF;Prestadora;Resultado;Número de Coletores;Número de Medidas;Limite Inferior;Limite Superior;data
2022;10;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;tim;75,66;73022;319723;75,5296;75,7881;2022-10-28
2022;11;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;tim;76,40;65892;293337;76,2628;76,5327;2022-11-28
2022;4;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;tim;78,64;68836;303833;78,5112;78,7764;2022-04-28
2022;3;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;claro;93,05;2289;10872;92,3454;93,7472;2022-03-28
2022;12;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;tim;76,76;73014;277570;76,6213;76,8988;2022-12-28
2022;5;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;vivo;82,87;16305;38218;82,4968;83,2445;2022-05-28
2022;4;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;vivo;83,51;11656;23093;83,0259;83,9878;2022-04-28
2022;9;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;tim;76,71;88929;426520;76,5970;76,8208;2022-09-28
2022;10;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;vivo;81,22;29490;92276;80,9820;81,4632;2022-10-28
2022;6;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;claro;92,41;18255;86562;92,1593;92,6561;2022-06-28
2022;9;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;vivo;81,61;29340;94721;81,3740;81,8490;2022-09-28
2022;11;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;claro;90,04;46569;185007;89,8699;90,2097;2022-11-28
2022;8;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;tim;77,56;99881;540220;77,4647;77,6635;2022-08-28
2022;10;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;claro;91,48;43726;187921;91,3118;91,6490;2022-10-28
2022;7;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;tim;77,88;93192;495682;77,7747;77,9823;2022-07-28
2022;5;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;tim;78,21;78919;383001;78,0897;78,3259;2022-05-28
2022;12;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;vivo;81,06;29404;82687;80,8093;81,3176;2022-12-28
2022;5;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;claro;92,27;11768;52981;91,9570;92,5921;2022-05-28
2022;4;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;claro;91,97;3495;18261;91,4311;92,5128;2022-04-28
2022;7;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;vivo;82,11;24734;72392;81,8371;82,3804;2022-07-28
2022;7;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;claro;92,23;25368;113703;92,0165;92,4500;2022-07-28
2022;9;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;claro;91,96;37838;163946;91,7796;92,1406;2022-09-28
2022;6;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;tim;78,12;85758;449645;78,0159;78,2339;2022-06-28
2022;8;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;vivo;81,83;28158;88418;81,5816;82,0732;2022-08-28
2022;3;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;vivo;85,02;6278;8897;84,2453;85,7950;2022-03-28
2022;6;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;vivo;82,61;20806;55010;82,2947;82,9179;2022-06-28
2022;8;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;claro;91,96;32470;142968;91,7657;92,1523;2022-08-28
2022;11;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;vivo;81,08;29143;86786;80,8341;81,3302;2022-11-28
2022;3;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;tim;78,84;47410;156413;78,6526;79,0222;2022-03-28
2022;12;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;salvador;ba;claro;88,89;49781;183902;88,7236;89,0645;2022-12-28
2022;10;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;vitoria;es;vivo;74,53;22617;61142;74,2309;74,8220;2022-10-28
2022;7;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;vitoria;es;claro;87,57;6752;21112;87,0633;88,0693;2022-07-28
2022;4;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;vitoria;es;claro;91,22;696;2631;89,7952;92,6449;2022-04-28
2022;6;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;vitoria;es;vivo;76,73;15673;37223;76,3477;77,1053;2022-06-28
2022;5;INF5-5;experiencia do uso de aplicativos em redes de dados - jogos online;vitoria;es;tim;78,86;2759;7546;78,0216;79,7043;2022-05-28
